Rank,Club,Country,Level,Elo,From,To
None,Bradford,ENG,2,1507.01904297,1987-09-06,1987-09-12
None,Bradford,ENG,2,1517.74804688,1987-09-13,1987-09-16
None,Bradford,ENG,2,1524.40942383,1987-09-17,1987-09-19
None,Bradford,ENG,2,1528.93005371,1987-09-20,1987-09-26
None,Bradford,ENG,2,1530.34362793,1987-09-27,1987-09-29
None,Bradford,ENG,2,1538.66503906,1987-09-30,1987-10-03
None,Bradford,ENG,2,1544.2364502,1987-10-04,1987-10-10
None,Bradford,ENG,2,1552.97558594,1987-10-11,1987-10-17
None,Bradford,ENG,2,1561.01391602,1987-10-18,1987-10-21
None,Bradford,ENG,2,1546.91967773,1987-10-22,1987-10-24
None,Bradford,ENG,2,1546.61181641,1987-10-25,1987-10-31
None,Bradford,ENG,2,1553.83605957,1987-11-01,1987-11-03
None,Bradford,ENG,2,1556.28295898,1987-11-04,1987-11-07
None,Bradford,ENG,2,1544.24230957,1987-11-08,1987-11-14
None,Bradford,ENG,2,1549.45471191,1987-11-15,1987-11-21
None,Bradford,ENG,2,1565.11767578,1987-11-22,1987-11-28
None,Bradford,ENG,2,1551.87854004,1987-11-29,1987-12-05
None,Bradford,ENG,2,1541.91589355,1987-12-06,1987-12-12
None,Bradford,ENG,2,1545.90466309,1987-12-13,1987-12-20
None,Bradford,ENG,2,1538.70031738,1987-12-21,1987-12-26
None,Bradford,ENG,2,1532.81079102,1987-12-27,1987-12-28
None,Bradford,ENG,2,1535.5057373,1987-12-29,1988-01-01
None,Bradford,ENG,2,1528.16967773,1988-01-02,1988-01-02
None,Bradford,ENG,2,1508.08703613,1988-01-03,1988-02-06
None,Bradford,ENG,2,1519.08496094,1988-02-07,1988-02-13
None,Bradford,ENG,2,1527.52502441,1988-02-14,1988-02-27
None,Bradford,ENG,2,1538.078125,1988-02-28,1988-03-01
None,Bradford,ENG,2,1524.68139648,1988-03-02,1988-03-05
None,Bradford,ENG,2,1524.95715332,1988-03-06,1988-03-12
None,Bradford,ENG,2,1531.9876709,1988-03-13,1988-03-19
None,Bradford,ENG,2,1534.89770508,1988-03-20,1988-03-30
None,Bradford,ENG,2,1536.13574219,1988-03-31,1988-04-02
None,Bradford,ENG,2,1532.74914551,1988-04-03,1988-04-04
None,Bradford,ENG,2,1540.05432129,1988-04-05,1988-04-09
None,Bradford,ENG,2,1546.18859863,1988-04-10,1988-04-20
None,Bradford,ENG,2,1551.93701172,1988-04-21,1988-04-23
None,Bradford,ENG,2,1554.25488281,1988-04-24,1988-04-30
None,Bradford,ENG,2,1563.79833984,1988-05-01,1988-05-02
None,Bradford,ENG,2,1559.29455566,1988-05-03,1988-05-07
None,Bradford,ENG,2,1547.83544922,1988-05-08,1988-05-15
None,Bradford,ENG,2,1550.49755859,1988-05-16,1988-05-18
None,Bradford,ENG,2,1537.03942871,1988-05-19,1988-08-27
None,Bradford,ENG,2,1547.36413574,1988-08-28,1988-08-29
None,Bradford,ENG,2,1543.94824219,1988-08-30,1988-09-03
