,MatchID,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,CHO,CDO,CAO,HomeElo,AwayElo,Season,HAR,HDR,AAR,ADR,HomeSTP,HomeSGF,HomeSGA,AwaySTP,AwaySGF,AwaySGA,HomeTeam_GamesSoFar,HT_APG,AwayTeam_GamesSoFar,AT_APG,HTWR,ATWR,AwayRollingGoals,HomeRollingGoals,H2H_WinRatio,H2H_AvgMargin,HRIS,ARIS
11,11,E0,2024-08-24,Crystal Palace,West Ham,0.0,2.0,A,0.0,0.0,D,R Jones,14.0,18.0,2.0,3.0,9.0,17.0,3.0,3.0,1.0,1.0,0.0,0.0,2.17,3.53,3.23,1752.20849609,1718.27954102,2024-2025,0.429,0.38,0.412,0.463,0.0,1.0,4.0,3.0,3.0,2.0,2.0,0.0,2.0,1.5,0.21428571428571427,0.3076923076923077,1.265747899159664,1.0547342995169082,0.516,0.645,-0.021607515657620053,0.30666666666666675
12,12,E0,2024-08-24,Fulham,Leicester,2.0,1.0,H,1.0,1.0,D,D Bond,18.0,10.0,6.0,4.0,14.0,13.0,7.0,5.0,2.0,2.0,0.0,0.0,1.81,3.73,4.29,1711.46643066,1646.47558594,2024-2025,0.448,0.344,0.324,0.621,3.0,2.0,2.0,1.0,2.0,3.0,2.0,1.5,2.0,0.5,0.35714285714285715,0.15384615384615385,1.4029468599033819,1.1800934256055364,0.8,0.714,0.6666666666666667,-0.5231868898186891
13,13,E0,2024-08-24,Man City,Ipswich,4.0,1.0,H,3.0,1.0,H,M Salisbury,14.0,1.0,5.0,1.0,4.0,15.0,10.0,1.0,2.0,3.0,0.0,0.0,1.09,11.83,23.33,2055.97094727,1565.4329834,2024-2025,0.624,0.28,0.311,0.575,6.0,6.0,1.0,0.0,1.0,6.0,2.0,3.0,2.0,0.0,0.6153846153846154,0.15384615384615385,1.1868863636363636,1.9697227979274612,0.5,0.0,1.2306614349775782,-0.9336569579288025
14,14,E0,2024-08-24,Southampton,Nott'm Forest,0.0,1.0,A,0.0,0.0,D,S Barrott,5.0,23.0,1.0,8.0,14.0,14.0,4.0,10.0,3.0,3.0,0.0,0.0,2.52,3.37,2.83,1597.3581543,1647.67578125,2024-2025,0.314,0.691,0.41,0.416,0.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,2.0,0.07692307692307693,0.5,1.0847906976744186,1.1415220588235295,0.0,-1.0,-0.9901490947816827,0.32184466019417496
15,15,E0,2024-08-24,Tottenham,Everton,4.0,0.0,H,2.0,0.0,H,A Taylor,13.0,10.0,7.0,1.0,11.0,15.0,12.0,5.0,0.0,0.0,0.0,0.0,1.44,4.85,6.75,1788.27868652,1690.8338623,2024-2025,0.53,0.403,0.315,0.41,4.0,5.0,1.0,0.0,0.0,7.0,2.0,2.0,2.0,0.0,0.35714285714285715,0.23076923076923078,1.2982675000000001,1.56947,0.422,0.856,0.15031769305962855,0.04883512544802861
16,16,E0,2024-08-24,Aston Villa,Arsenal,0.0,2.0,A,0.0,0.0,D,M Oliver,11.0,9.0,3.0,4.0,8.0,15.0,4.0,1.0,1.0,3.0,0.0,0.0,4.29,3.87,1.78,1778.92663574,1949.74951172,2024-2025,0.461,0.287,0.39,0.288,3.0,2.0,3.0,6.0,4.0,0.0,2.0,1.5,2.0,3.0,0.4666666666666667,0.5,1.9202000000000001,1.2439745762711865,0.519,0.129,-0.16972889400258873,-0.31139616473308607
17,17,E0,2024-08-25,Bournemouth,Newcastle,1.0,1.0,D,1.0,0.0,H,D Coote,16.0,14.0,4.0,5.0,19.0,8.0,8.0,9.0,2.0,2.0,0.0,0.0,2.97,3.83,2.22,1691.69104004,1804.57055664,2024-2025,0.517,0.315,0.406,0.369,2.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,0.46153846153846156,0.42857142857142855,1.2953324324324325,1.2127919999999999,0.214,0.004,-0.16860068259385658,-0.031946072684642425
18,18,E0,2024-08-25,Wolves,Chelsea,2.0,6.0,A,2.0,2.0,D,D England,12.0,14.0,4.0,8.0,13.0,13.0,5.0,5.0,2.0,3.0,0.0,0.0,4.38,4.0,1.75,1675.54382324,1806.07421875,2024-2025,0.389,0.47,0.486,0.363,0.0,2.0,8.0,3.0,6.0,4.0,2.0,0.0,2.0,1.5,0.23076923076923078,0.42857142857142855,1.8775409429280396,1.0342643678160919,0.484,-0.025,0.4137126865671643,-0.14020452099031214
19,19,E0,2024-08-25,Liverpool,Brentford,2.0,0.0,H,1.0,0.0,H,S Attwell,19.0,8.0,8.0,2.0,10.0,7.0,9.0,4.0,2.0,3.0,0.0,0.0,1.26,6.33,10.83,1904.10913086,1719.11169434,2024-2025,0.572,0.259,0.386,0.499,6.0,4.0,0.0,3.0,2.0,3.0,2.0,3.0,2.0,1.5,0.7692307692307693,0.3076923076923077,1.5093898305084745,1.7931169154228854,0.709,1.451,0.3796186895810957,-0.2446808510638299
20,20,E0,2024-08-31,Arsenal,Brighton,1.0,1.0,D,1.0,0.0,H,C Kavanagh,11.0,22.0,7.0,4.0,12.0,7.0,3.0,7.0,3.0,2.0,1.0,0.0,1.34,5.5,8.33,1956.93518066,1737.66442871,2024-2025,0.601,0.206,0.445,0.383,7.0,5.0,1.0,7.0,6.0,2.0,3.0,2.3333333333333335,3.0,2.3333333333333335,0.6153846153846154,0.42857142857142855,1.325503937007874,1.9089702233250623,0.559,0.59,-0.2214490747859961,-0.3645782545099951
21,21,E0,2024-08-31,Brentford,Southampton,3.0,1.0,H,1.0,0.0,H,J Smith,20.0,18.0,7.0,6.0,10.0,7.0,2.0,8.0,2.0,1.0,0.0,0.0,1.75,3.9,4.44,1715.27978516,1589.20849609,2024-2025,0.491,0.461,0.29,0.53,6.0,5.0,4.0,0.0,1.0,5.0,3.0,2.0,3.0,0.0,0.5,0.07142857142857142,1.1385018587360596,1.5071129032258066,0.781,1.41,2.13031914893617,-1.323482428115016
22,22,E0,2024-08-31,Everton,Bournemouth,2.0,3.0,A,0.0,0.0,D,S Attwell,18.0,17.0,8.0,7.0,6.0,1.0,8.0,4.0,2.0,1.0,0.0,0.0,2.72,3.4,2.58,1682.32531738,1693.36071777,2024-2025,0.389,0.315,0.507,0.469,0.0,2.0,10.0,5.0,5.0,4.0,3.0,0.0,3.0,1.6666666666666667,0.2857142857142857,0.42857142857142855,1.2133828125,1.2731555555555556,0.399,-0.334,-0.03449820788530477,0.32257578799437875
23,23,E0,2024-08-31,Ipswich,Fulham,1.0,1.0,D,1.0,1.0,D,L Smith,11.0,9.0,4.0,4.0,15.0,15.0,8.0,6.0,2.0,3.0,0.0,0.0,3.07,3.5,2.28,1564.67224121,1716.56152344,2024-2025,0.33,0.476,0.448,0.373,1.0,2.0,7.0,4.0,3.0,3.0,3.0,0.3333333333333333,3.0,1.3333333333333333,0.07142857142857142,0.46153846153846156,1.1858098591549295,1.1791136363636363,0.5,0.0,-0.3919902912621358,-0.08333333333333316
24,24,E0,2024-08-31,Leicester,Aston Villa,1.0,2.0,A,0.0,1.0,A,D Coote,9.0,10.0,3.0,5.0,13.0,21.0,1.0,4.0,4.0,5.0,0.0,0.0,4.5,3.93,1.74,1641.49316406,1771.85351562,2024-2025,0.287,0.475,0.364,0.516,1.0,3.0,5.0,6.0,4.0,4.0,3.0,0.3333333333333333,3.0,2.0,0.14285714285714285,0.3076923076923077,1.2596977401129943,1.3930243902439023,0.455,0.666,0.45597977684797764,0.9458173244848065
25,25,E0,2024-08-31,Nott'm Forest,Wolves,1.0,1.0,D,1.0,1.0,D,S Hooper,16.0,11.0,5.0,3.0,15.0,18.0,7.0,3.0,3.0,4.0,0.0,0.0,2.05,3.63,3.6,1655.93811035,1663.51940918,2024-2025,0.472,0.299,0.393,0.474,5.0,3.0,2.0,1.0,3.0,9.0,3.0,1.6666666666666667,3.0,0.3333333333333333,0.5384615384615384,0.21428571428571427,1.05,1.0504444444444445,0.0,-0.213,-0.867044228694714,-0.23420398009950233
26,26,E0,2024-08-31,West Ham,Man City,1.0,3.0,A,1.0,2.0,A,M Oliver,10.0,23.0,2.0,8.0,10.0,3.0,3.0,11.0,3.0,2.0,0.0,0.0,7.42,5.25,1.39,1733.02294922,2056.84448242,2024-2025,0.378,0.469,0.486,0.327,3.0,4.0,5.0,9.0,9.0,2.0,3.0,1.0,3.0,3.0,0.35714285714285715,0.42857142857142855,1.996305699481865,1.2539022346368716,0.0,-1.568,-0.3120833333333334,0.3906614349775782
27,27,E0,2024-09-01,Chelsea,Crystal Palace,1.0,1.0,D,1.0,0.0,H,J Gillett,13.0,9.0,7.0,3.0,9.0,13.0,4.0,5.0,4.0,2.0,0.0,0.0,1.62,4.35,5.0,1818.38671875,1737.57775879,2024-2025,0.606,0.362,0.454,0.317,4.0,7.0,5.0,1.0,2.0,5.0,3.0,1.3333333333333333,3.0,0.3333333333333333,0.5384615384615384,0.46153846153846156,1.0528405797101448,1.8624613466334163,1.0,1.779,-0.8068711876569787,0.21172581767571322
28,28,E0,2024-09-01,Newcastle,Tottenham,2.0,1.0,H,1.0,0.0,H,R Jones,9.0,20.0,3.0,6.0,16.0,13.0,7.0,12.0,4.0,4.0,0.0,0.0,2.48,4.0,2.52,1803.0135498,1796.89978027,2024-2025,0.523,0.391,0.532,0.379,7.0,4.0,2.0,4.0,6.0,3.0,3.0,2.3333333333333335,3.0,1.3333333333333333,0.5384615384615384,0.38461538461538464,1.5871876543209877,1.2910298913043479,0.408,0.293,0.7635084727699031,-0.6211469534050179
29,29,E0,2024-09-01,Man United,Liverpool,0.0,3.0,A,0.0,2.0,A,A Taylor,8.0,11.0,3.0,3.0,7.0,7.0,5.0,2.0,4.0,1.0,0.0,0.0,3.73,4.17,1.86,1776.53857422,1908.05358887,2024-2025,0.433,0.355,0.548,0.238,3.0,2.0,5.0,9.0,7.0,0.0,3.0,1.0,3.0,3.0,0.42857142857142855,0.6666666666666666,1.8142945544554456,1.8328148148148147,0.108,-1.893,-0.06621863799283158,0.12922186418426998
30,30,E0,2024-09-14,Southampton,Man United,0.0,3.0,A,0.0,2.0,A,S Attwell,6.0,20.0,4.0,10.0,11.0,14.0,0.0,7.0,1.0,4.0,1.0,0.0,4.58,3.93,1.73,1583.90270996,1766.37512207,2024-2025,0.314,0.691,0.386,0.361,0.0,1.0,8.0,6.0,5.0,5.0,4.0,0.0,4.0,1.5,0.07692307692307693,0.23076923076923078,1.857705,1.1415220588235295,0.0,-1.4,-0.47054125164442784,0.4063508064516128
31,31,E0,2024-09-14,Brighton,Ipswich,0.0,0.0,D,0.0,0.0,D,S Barrott,21.0,6.0,6.0,1.0,14.0,16.0,9.0,2.0,4.0,3.0,0.0,0.0,1.39,5.08,7.75,1744.23925781,1567.4005127,2024-2025,0.488,0.327,0.311,0.575,8.0,6.0,2.0,2.0,2.0,7.0,4.0,2.0,4.0,0.5,0.38461538461538464,0.15384615384615385,1.1868863636363636,1.3161825396825397,0.5,0.0,0.1889931740614335,-0.6419902912621358
32,32,E0,2024-09-14,Crystal Palace,Leicester,2.0,2.0,D,0.0,1.0,A,T Harrington,20.0,9.0,4.0,4.0,11.0,15.0,5.0,2.0,0.0,3.0,0.0,0.0,1.63,4.03,5.42,1741.26794434,1635.5345459,2024-2025,0.429,0.38,0.324,0.621,2.0,4.0,7.0,2.0,5.0,7.0,4.0,0.5,4.0,0.5,0.21428571428571427,0.15384615384615385,1.4029468599033819,1.0547342995169082,0.17,-0.553,-0.37160751565762,-0.6898535564853558
33,33,E0,2024-09-14,Fulham,West Ham,1.0,1.0,D,1.0,0.0,H,T Robinson,21.0,11.0,5.0,3.0,15.0,18.0,3.0,2.0,2.0,3.0,0.0,0.0,2.43,3.42,2.89,1713.83312988,1729.66125488,2024-2025,0.448,0.344,0.412,0.463,5.0,4.0,4.0,4.0,5.0,6.0,4.0,1.25,4.0,1.0,0.35714285714285715,0.3076923076923077,1.265747899159664,1.1800934256055364,0.428,0.856,-0.6333333333333332,-0.1933333333333333
34,34,E0,2024-09-14,Liverpool,Nott'm Forest,0.0,1.0,A,0.0,0.0,D,M Oliver,14.0,5.0,5.0,3.0,15.0,6.0,7.0,2.0,4.0,4.0,0.0,0.0,1.22,6.67,12.33,1918.21704102,1654.59204102,2024-2025,0.572,0.259,0.41,0.416,9.0,7.0,1.0,8.0,4.0,2.0,4.0,2.25,4.0,2.0,0.7692307692307693,0.5,1.0847906976744186,1.7931169154228854,0.785,1.097,-0.1901181525241677,0.24406688241639707
35,35,E0,2024-09-14,Man City,Brentford,2.0,1.0,H,2.0,1.0,H,D Bond,18.0,8.0,7.0,5.0,9.0,3.0,12.0,3.0,3.0,1.0,0.0,0.0,1.18,7.75,13.67,2060.20605469,1720.58557129,2024-2025,0.624,0.28,0.386,0.499,12.0,11.0,3.0,6.0,6.0,6.0,4.0,3.0,4.0,1.5,0.6153846153846154,0.3076923076923077,1.5093898305084745,1.9697227979274612,0.669,0.673,1.4806614349775782,0.5469858156028369
36,36,E0,2024-09-14,Aston Villa,Everton,3.0,2.0,H,1.0,2.0,A,C Pawson,17.0,6.0,8.0,2.0,10.0,12.0,6.0,2.0,1.0,4.0,0.0,0.0,1.5,4.37,6.42,1777.81213379,1673.03662109,2024-2025,0.461,0.287,0.315,0.41,9.0,7.0,6.0,0.0,4.0,13.0,4.0,2.25,4.0,0.0,0.4666666666666667,0.23076923076923078,1.2982675000000001,1.2439745762711865,0.679,1.429,-0.10930689911767832,-0.5096966205837173
37,37,E0,2024-09-14,Bournemouth,Chelsea,0.0,1.0,A,0.0,0.0,D,A Taylor,19.0,10.0,7.0,3.0,16.0,9.0,6.0,3.0,6.0,8.0,0.0,0.0,3.37,3.87,2.03,1702.64941406,1814.6965332,2024-2025,0.517,0.315,0.486,0.363,5.0,5.0,5.0,7.0,8.0,5.0,4.0,1.25,4.0,1.75,0.46153846153846156,0.42857142857142855,1.8775409429280396,1.2127919999999999,0.096,-0.869,-0.39985068259385664,0.005144316218990211
38,38,E0,2024-09-15,Tottenham,Arsenal,0.0,1.0,A,0.0,0.0,D,J Gillett,15.0,7.0,5.0,4.0,13.0,10.0,7.0,6.0,5.0,3.0,0.0,0.0,2.98,3.6,2.28,1790.58093262,1950.36035156,2024-2025,0.53,0.403,0.39,0.288,4.0,6.0,4.0,10.0,6.0,1.0,4.0,1.0,4.0,2.5,0.35714285714285715,0.5,1.9202000000000001,1.56947,0.267,-0.361,0.13440860215053768,0.6237890204520992
39,39,E0,2024-09-15,Wolves,Newcastle,1.0,2.0,A,1.0,0.0,H,C Kavanagh,12.0,14.0,5.0,6.0,17.0,6.0,4.0,7.0,3.0,3.0,0.0,0.0,3.3,3.65,2.1,1664.86535645,1809.33227539,2024-2025,0.389,0.47,0.406,0.369,1.0,4.0,11.0,10.0,6.0,3.0,4.0,0.25,4.0,2.5,0.23076923076923078,0.42857142857142855,1.2953324324324325,1.0342643678160919,0.092,-0.58,-0.11753731343283577,-0.05467334541191519
40,40,E0,2024-09-21,West Ham,Chelsea,0.0,3.0,A,0.0,2.0,A,S Barrott,15.0,12.0,7.0,5.0,17.0,9.0,6.0,5.0,5.0,2.0,0.0,0.0,3.47,3.82,2.02,1735.1895752,1825.50817871,2024-2025,0.378,0.469,0.486,0.363,4.0,5.0,9.0,10.0,11.0,5.0,5.0,0.8,5.0,2.0,0.35714285714285715,0.42857142857142855,1.8775409429280396,1.2539022346368716,0.359,-0.795,0.38999999999999996,-0.5152045209903122
41,41,E0,2024-09-21,Aston Villa,Wolves,3.0,1.0,H,0.0,1.0,A,T Robinson,9.0,10.0,4.0,4.0,11.0,16.0,6.0,5.0,3.0,6.0,0.0,0.0,1.58,4.27,5.33,1794.23706055,1663.80078125,2024-2025,0.461,0.287,0.393,0.474,12.0,10.0,7.0,1.0,5.0,14.0,5.0,2.4,5.0,0.2,0.4666666666666667,0.21428571428571427,1.05,1.2439745762711865,0.225,-0.072,1.1660554197229016,0.8824626865671642
42,42,E0,2024-09-21,Fulham,Newcastle,3.0,1.0,H,2.0,0.0,H,P Bankes,22.0,15.0,11.0,4.0,16.0,8.0,6.0,0.0,6.0,0.0,0.0,0.0,2.92,3.47,2.42,1717.24511719,1819.3371582,2024-2025,0.448,0.344,0.406,0.369,8.0,7.0,5.0,10.0,7.0,6.0,5.0,1.6,5.0,2.0,0.35714285714285715,0.42857142857142855,1.2953324324324325,1.1800934256055364,0.0,-1.75,1.0416666666666667,-0.5111127393513091
43,43,E0,2024-09-21,Leicester,Everton,1.0,1.0,D,0.0,1.0,A,D England,12.0,16.0,2.0,5.0,11.0,12.0,6.0,1.0,1.0,2.0,0.0,0.0,2.5,3.43,2.78,1644.27368164,1673.2590332,2024-2025,0.287,0.475,0.315,0.41,3.0,6.0,8.0,1.0,5.0,14.0,5.0,0.6,5.0,0.2,0.14285714285714285,0.23076923076923078,1.2982675000000001,1.3930243902439023,0.24,-0.053,-0.26128212791392724,0.2710573476702509
44,44,E0,2024-09-21,Liverpool,Bournemouth,3.0,0.0,H,3.0,0.0,H,T Harrington,19.0,19.0,13.0,6.0,10.0,12.0,3.0,9.0,1.0,4.0,0.0,0.0,1.3,6.42,8.83,1918.99365234,1700.77807617,2024-2025,0.572,0.259,0.507,0.469,12.0,10.0,1.0,5.0,5.0,8.0,5.0,2.4,5.0,1.0,0.7692307692307693,0.42857142857142855,1.2133828125,1.7931169154228854,0.809,3.074,0.6212853562477623,-0.45193401592719
45,45,E0,2024-09-21,Southampton,Ipswich,1.0,1.0,D,1.0,0.0,H,S Allison,11.0,13.0,3.0,6.0,16.0,16.0,2.0,10.0,4.0,4.0,0.0,0.0,2.23,3.57,3.13,1580.24731445,1577.65930176,2024-2025,0.314,0.691,0.311,0.575,1.0,2.0,9.0,3.0,3.0,8.0,5.0,0.2,5.0,0.6,0.07692307692307693,0.15384615384615385,1.1868863636363636,1.1415220588235295,0.5,0.0,0.42651757188498396,0.4830097087378642
46,46,E0,2024-09-21,Tottenham,Brentford,3.0,1.0,H,2.0,1.0,H,J Brooks,23.0,6.0,10.0,6.0,11.0,9.0,9.0,4.0,3.0,1.0,0.0,0.0,1.55,4.58,5.5,1789.86230469,1723.85852051,2024-2025,0.53,0.403,0.386,0.499,7.0,9.0,5.0,6.0,7.0,9.0,5.0,1.4,5.0,1.2,0.35714285714285715,0.3076923076923077,1.5093898305084745,1.56947,0.334,0.113,0.5772657450076805,-0.4446808510638298
47,47,E0,2024-09-21,Crystal Palace,Man United,0.0,0.0,D,0.0,0.0,D,D Coote,9.0,15.0,4.0,6.0,7.0,12.0,4.0,11.0,3.0,1.0,0.0,0.0,2.84,3.68,2.36,1741.46911621,1778.9708252,2024-2025,0.429,0.38,0.386,0.361,3.0,4.0,7.0,7.0,5.0,5.0,5.0,0.6,5.0,1.4,0.21428571428571427,0.23076923076923078,1.857705,1.0547342995169082,0.491,0.677,-0.32160751565761997,-0.1301075268817206
48,48,E0,2024-09-22,Brighton,Nott'm Forest,2.0,2.0,D,2.0,1.0,H,R Jones,14.0,4.0,3.0,3.0,12.0,11.0,9.0,1.0,3.0,4.0,0.0,1.0,1.78,3.78,4.55,1742.92077637,1674.18981934,2024-2025,0.488,0.327,0.41,0.416,9.0,8.0,4.0,9.0,6.0,4.0,5.0,1.8,5.0,1.8,0.38461538461538464,0.5,1.0847906976744186,1.3161825396825397,0.549,0.075,-0.16814968308142364,0.3432732316227462
