params,mean_test_score,std_test_score,rank_test_score
"{'ridge__ridgeclassifier__alpha': 10.0, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'scale', 'weights': [3, 1]}",0.629620664921197,0.010679512449865475,25
"{'ridge__ridgeclassifier__alpha': 0.1, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'auto', 'weights': None}",0.6005537834738881,0.017135906712518762,37
"{'ridge__ridgeclassifier__alpha': 0.1, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'auto', 'weights': [1, 1]}",0.6005537834738881,0.017135906712518762,37
"{'ridge__ridgeclassifier__alpha': 1.0, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'auto', 'weights': None}",0.6005438924728943,0.01784350005528387,39
"{'ridge__ridgeclassifier__alpha': 1.0, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'auto', 'weights': [1, 1]}",0.6005438924728943,0.01784350005528387,39
"{'ridge__ridgeclassifier__alpha': 0.1, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'scale', 'weights': [1, 1]}",0.6005252787557565,0.01720876754744442,41
"{'ridge__ridgeclassifier__alpha': 0.1, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'scale', 'weights': None}",0.6005252787557565,0.01720876754744442,41
"{'ridge__ridgeclassifier__alpha': 1.0, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'scale', 'weights': [1, 1]}",0.6005152148974954,0.017953309035924278,43
"{'ridge__ridgeclassifier__alpha': 1.0, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'scale', 'weights': None}",0.6005152148974954,0.017953309035924278,43
"{'ridge__ridgeclassifier__alpha': 10.0, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'auto', 'weights': None}",0.5993309710863076,0.01724475911884805,45
"{'ridge__ridgeclassifier__alpha': 10.0, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'auto', 'weights': [1, 1]}",0.5993309710863076,0.01724475911884805,45
"{'ridge__ridgeclassifier__alpha': 10.0, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'scale', 'weights': None}",0.5993044250606261,0.01745429877113146,47
"{'ridge__ridgeclassifier__alpha': 10.0, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'scale', 'weights': [1, 1]}",0.5993044250606261,0.01745429877113146,47
"{'ridge__ridgeclassifier__alpha': 10.0, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'scale', 'weights': None}",0.5980628679988873,0.013171435890474509,49
"{'ridge__ridgeclassifier__alpha': 10.0, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'scale', 'weights': [1, 1]}",0.5980628679988873,0.013171435890474509,49
"{'ridge__ridgeclassifier__alpha': 10.0, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'auto', 'weights': None}",0.5979478728494351,0.01313196815045108,51
"{'ridge__ridgeclassifier__alpha': 10.0, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'auto', 'weights': [1, 1]}",0.5979478728494351,0.01313196815045108,51
"{'ridge__ridgeclassifier__alpha': 1.0, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'scale', 'weights': [1, 1]}",0.5977875944347921,0.013701959748888562,53
"{'ridge__ridgeclassifier__alpha': 1.0, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'scale', 'weights': None}",0.5977875944347921,0.013701959748888562,53
"{'ridge__ridgeclassifier__alpha': 1.0, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'auto', 'weights': [1, 1]}",0.5976716376541139,0.013599779314647183,55
"{'ridge__ridgeclassifier__alpha': 1.0, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'auto', 'weights': None}",0.5976716376541139,0.013599779314647183,55
"{'ridge__ridgeclassifier__alpha': 0.1, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'scale', 'weights': None}",0.5969920936999451,0.013621249833111502,57
"{'ridge__ridgeclassifier__alpha': 0.1, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'scale', 'weights': [1, 1]}",0.5969920936999451,0.013621249833111502,57
"{'ridge__ridgeclassifier__alpha': 0.1, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'auto', 'weights': None}",0.5968762859361584,0.01349964620515729,59
"{'ridge__ridgeclassifier__alpha': 0.1, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'auto', 'weights': [1, 1]}",0.5968762859361584,0.01349964620515729,59
"{'ridge__ridgeclassifier__alpha': 0.1, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'auto', 'weights': [1, 2]}",0.5853213671575271,0.017948807499592843,61
"{'ridge__ridgeclassifier__alpha': 1.0, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'auto', 'weights': [1, 2]}",0.5853213671575271,0.017948807499592843,61
"{'ridge__ridgeclassifier__alpha': 1.0, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'auto', 'weights': [1, 3]}",0.5853213671575271,0.017948807499592843,61
