Model,Precision,Recall,F1 Score,Accuracy
xgboost,0.6249765269907944,0.6523374529822676,0.6209328139470188,0.6523374529822676
deep_nn,0.6149809527612476,0.6448146157979581,0.619383994661207,0.6448146157979581
shallow_nn,0.5976024584388974,0.6346050510478237,0.6016649766561084,0.6346050510478237
random_forest,0.5906323228447062,0.61579795808705,0.5923237864249767,0.61579795808705
